group,name,source_size,natural_size,target_size,method,processing_source,background_confidence,natural_path,unity_path
商店页面元素,顶部金币.png,1024x1024,537x558,48x48,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\顶部金币.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\顶部金币.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\顶部金币.png
商店页面元素,关闭按钮.png,259x205,190x145,128x128,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\关闭按钮.png,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\关闭按钮.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\关闭按钮.png
商店页面元素,横向木梁.png,1376x768,1345x392,900x80,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\横向木梁.jpg,0.824,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\横向木梁.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\横向木梁.png
商店页面元素,滑动条.png,448x2384,194x2292,34x180,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\滑动条.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\滑动条.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\滑动条.png
商店页面元素,滑动条框.png,1376x768,230x695,36x520,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\滑动条框.jpg,0.837,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\滑动条框.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\滑动条框.png
商店页面元素,灰色按钮.png,2134x737,1717x612,260x90,亮度轮廓法处理AI精修源,D:\prounity\mvp\商店页面\AI精修源\灰色按钮.png,0.865,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\灰色按钮.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\灰色按钮.png
商店页面元素,基础卡牌.png,328x82,296x80,300x115,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\基础卡牌.png,0.916,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\基础卡牌.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\基础卡牌.png
商店页面元素,金币.png,1024x1024,552x455,64x64,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\金币.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\金币.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\金币.png
商店页面元素,金币袋图标.png,1024x1024,544x660,160x160,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\金币袋图标.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\金币袋图标.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\金币袋图标.png
商店页面元素,卷轴商品卡.png,832x1280,783x1063,330x500,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\卷轴商品卡.jpg,0.984,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\卷轴商品卡.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\卷轴商品卡.png
